Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
Kursk Oblast,Russia,2023-01-18 20:21:03,51.6568453,36.4852695,150260,2536,,,,,"Kursk Oblast, Russia",13473.369337638547,,,64337,RUS,420,3
Leningrad Oblast,Russia,2023-01-18 20:21:03,60.1853296,32.3925325,241214,3508,,,,,"Leningrad Oblast, Russia",13298.702845272068,,,64338,RUS,1588,0
Lipetsk Oblast,Russia,2023-01-18 20:21:03,52.6935178,39.1122664,176432,3946,,,,,"Lipetsk Oblast, Russia",15339.23201249173,,,64339,RUS,318,10
Magadan Oblast,Russia,2023-01-18 20:21:03,62.48858785,153.9903764,22215,394,,,,,"Magadan Oblast, Russia",15417.340430700044,,,64340,RUS,81,0
Mari El Republic,Russia,2023-01-18 20:21:03,56.5767504,47.8817512,51774,1087,,,,,"Mari El Republic, Russia",7587.790712159605,,,64341,RUS,622,0
Mordovia Republic,Russia,2023-01-18 20:21:03,54.4419829,44.4661144,83243,1396,,,,,"Mordovia Republic, Russia",10340.026035455918,,,64342,RUS,367,0
Moscow,Russia,2023-01-18 20:21:03,55.7504461,37.6174943,3322385,47738,,,,,"Moscow, Russia",26565.33403355768,,,64343,RUS,36701,420
Moscow Oblast,Russia,2023-01-18 20:21:03,55.5043158,38.0353929,1130243,15465,,,,,"Moscow Oblast, Russia",15063.108183839691,,,64344,RUS,3792,12
Murmansk Oblast,Russia,2023-01-18 20:21:03,68.0000418,33.9999151,145810,3402,,,,,"Murmansk Oblast, Russia",19349.56479735441,,,64345,RUS,423,4
Nenets Autonomous Okrug,Russia,2023-01-18 20:21:03,68.27557185,57.1686375,8362,103,,,,,"Nenets Autonomous Okrug, Russia",19005.841307361865,,,64346,RUS,48,0
Nizhny Novgorod Oblast,Russia,2023-01-18 20:21:03,55.4718033,44.0911594,501803,11813,,,,,"Nizhny Novgorod Oblast, Russia",15512.873939022218,,,64347,RUS,1591,11
North Ossetia - Alania Republic,Russia,2023-01-18 20:21:03,42.7933611,44.6324493,45905,1268,,,,,"North Ossetia - Alania Republic, Russia",6541.363561876126,,,64348,RUS,100,1
Novgorod Oblast,Russia,2023-01-18 20:21:03,58.2843833,32.5169757,116778,1071,,,,,"Novgorod Oblast, Russia",19255.172504765236,,,64349,RUS,267,1
Novosibirsk Oblast,Russia,2023-01-18 20:21:03,54.9720169,79.4813924,311004,5750,,,,,"Novosibirsk Oblast, Russia",11151.69734897802,,,64350,RUS,2095,8
Omsk Oblast,Russia,2023-01-18 20:21:03,56.0935263,73.5099936,231886,4573,,,,,"Omsk Oblast, Russia",11830.429456741838,,,64351,RUS,817,30
Orel Oblast,Russia,2023-01-18 20:21:03,52.9685433,36.0692477,134950,1977,,,,,"Orel Oblast, Russia",18059.624193874315,,,64352,RUS,332,5
Orenburg Oblast,Russia,2023-01-18 20:21:03,52.0269262,54.7276647,241143,4030,,,,,"Orenburg Oblast, Russia",12192.979794915356,,,64353,RUS,375,0
Penza Oblast,Russia,2023-01-18 20:21:03,53.1655415,44.7879181,222433,6202,,,,,"Penza Oblast, Russia",16703.500531293765,,,64354,RUS,1597,26
Perm Krai,Russia,2023-01-18 20:21:03,58.5951603,56.3159546,456859,9196,,,,,"Perm Krai, Russia",17416.612723312144,,,64355,RUS,3950,44
Primorsky Krai,Russia,2023-01-18 20:21:03,45.0819456,134.726645,209623,1966,,,,,"Primorsky Krai, Russia",10957.603015519302,,,64356,RUS,1610,0
Pskov Oblast,Russia,2023-01-18 20:21:03,57.5358729,28.8586826,126004,1961,,,,,"Pskov Oblast, Russia",19794.955902637044,,,64357,RUS,156,8
Rostov Oblast,Russia,2023-01-18 20:21:03,47.6222451,40.7957942,438890,11081,,,,,"Rostov Oblast, Russia",10399.12312709634,,,64358,RUS,574,3
Ryazan Oblast,Russia,2023-01-18 20:21:03,54.4226732,40.5705246,149708,3491,,,,,"Ryazan Oblast, Russia",13349.217190946914,,,64359,RUS,385,9
Saint Petersburg,Russia,2023-01-18 20:21:03,59.9606739,30.1586551,1835901,36797,,,,,"Saint Petersburg, Russia",34303.49957538722,,,64360,RUS,17410,371
Sakha (Yakutiya) Republic,Russia,2023-01-18 20:21:03,66.941626,129.642371,217734,2141,,,,,"Sakha (Yakutiya) Republic, Russia",22578.785270602388,,,64361,RUS,1346,1
Sakhalin Oblast,Russia,2023-01-18 20:21:03,49.7219665,143.448533,69677,831,,,,,"Sakhalin Oblast, Russia",14214.545239411564,,,64362,RUS,252,1
Samara Oblast,Russia,2023-01-18 20:21:03,53.2128813,50.8914633,494111,8203,,,,,"Samara Oblast, Russia",15472.329227302587,,,64363,RUS,4988,25
Saratov Oblast,Russia,2023-01-18 20:21:03,51.6520555,46.8631952,302614,6001,,,,,"Saratov Oblast, Russia",12286.648125215695,,,64364,RUS,1341,0
Smolensk Oblast,Russia,2023-01-18 20:21:03,55.0343496,33.0192065,146120,3181,,,,,"Smolensk Oblast, Russia",15391.616140761873,,,64365,RUS,94,9
Stavropol Krai,Russia,2023-01-18 20:21:03,44.8632577,43.4406913,245412,7127,,,,,"Stavropol Krai, Russia",8762.60500151035,,,64366,RUS,1048,1
Sverdlovsk Oblast,Russia,2023-01-18 20:21:03,58.6414755,61.8021546,566013,10913,,,,,"Sverdlovsk Oblast, Russia",13086.231196488716,,,64367,RUS,4860,15
Tambov Oblast,Russia,2023-01-18 20:21:03,52.9019574,41.3578918,137656,2523,,,,,"Tambov Oblast, Russia",13318.729971980125,,,64368,RUS,227,6
Tatarstan Republic,Russia,2023-01-18 20:21:03,55.7648572,52.43104273,194349,2009,,,,,"Tatarstan Republic, Russia",4990.622152878424,,,64369,RUS,1894,1
Tomsk Oblast,Russia,2023-01-18 20:21:03,58.6124279,82.0475315,158910,964,,,,,"Tomsk Oblast, Russia",14737.359498460512,,,64370,RUS,729,15
Tula Oblast,Russia,2023-01-18 20:21:03,53.9570701,37.3690909,188188,5359,,,,,"Tula Oblast, Russia",12614.36265588814,,,64371,RUS,345,7
Tver Oblast,Russia,2023-01-18 20:21:03,57.1134475,35.1744428,179770,2771,,,,,"Tver Oblast, Russia",14002.163765419164,,,64372,RUS,279,0
Tyumen Oblast,Russia,2023-01-18 20:21:03,58.8206488,70.3658837,254291,4364,,,,,"Tyumen Oblast, Russia",6886.875744773048,,,64373,RUS,1538,2
Tyva Republic,Russia,2023-01-18 20:21:03,51.4017149,93.8582593,52394,358,,,,,"Tyva Republic, Russia",16285.488713858547,,,64374,RUS,58,1
Udmurt Republic,Russia,2023-01-18 20:21:03,57.1961165,52.6959832,234183,3961,,,,,"Udmurt Republic, Russia",15477.606731859749,,,64375,RUS,3906,10
Ulyanovsk Oblast,Russia,2023-01-18 20:21:03,54.1463177,47.2324921,226826,4808,,,,,"Ulyanovsk Oblast, Russia",18195.309228649032,,,64376,RUS,491,0
Vladimir Oblast,Russia,2023-01-18 20:21:03,56.0503336,40.6561633,178940,3582,,,,,"Vladimir Oblast, Russia",12982.31129252135,,,64377,RUS,673,10
Volgograd Oblast,Russia,2023-01-18 20:21:03,49.6048339,44.2903582,264864,6912,,,,,"Volgograd Oblast, Russia",10505.156912610915,,,64378,RUS,557,0
Vologda Oblast,Russia,2023-01-18 20:21:03,60.0391461,43.1215213,216896,3892,,,,,"Vologda Oblast, Russia",18432.73796219732,,,64379,RUS,657,1
Voronezh Oblast,Russia,2023-01-18 20:21:03,50.9800393,40.1506507,471317,8603,,,,,"Voronezh Oblast, Russia",20195.5378598044,,,64380,RUS,983,4
Yamalo-Nenets Autonomous Okrug,Russia,2023-01-18 20:21:03,67.1471631,74.3415488,150405,1055,,,,,"Yamalo-Nenets Autonomous Okrug, Russia",27927.92458225559,,,64381,RUS,529,3
Yaroslavl Oblast,Russia,2023-01-18 20:21:03,57.7781976,39.0021095,189765,2886,,,,,"Yaroslavl Oblast, Russia",14993.078841164146,,,64382,RUS,1193,3
Zabaykalsky Krai,Russia,2023-01-18 20:21:03,52.248521,115.956325,190859,2375,,,,,"Zabaykalsky Krai, Russia",17790.635026276886,,,64383,RUS,780,1
,Rwanda,2023-01-18 20:21:03,-1.9403,29.8739,133078,1468,,,,,Rwanda,1027.454081384882,,,646,RWA,158,1
,Saint Kitts and Nevis,2023-01-18 20:21:03,17.357822,-62.782998,6581,46,,,,,Saint Kitts and Nevis,12372.161227252218,,,659,KNA,21,0
,Saint Lucia,2023-01-18 20:21:03,13.9094,-60.9789,29761,409,,,,,Saint Lucia,16207.13503858323,,,662,LCA,23,0
,Saint Vincent and the Grenadines,2023-01-18 20:21:03,12.9843,-61.2872,9563,121,,,,,Saint Vincent and the Grenadines,8619.43089943847,,,670,VCT,42,3
,Samoa,2023-01-18 20:21:03,-13.759,-172.1046,16008,29,,,,,Samoa,8161.933411512772,,,882,WSM,33,0
,San Marino,2023-01-18 20:21:03,43.9424,12.4578,23370,122,,,,,San Marino,68860.86392833991,,,674,SMR,557,2
,Sao Tome and Principe,2023-01-18 20:21:03,0.1864,6.6131,6279,77,,,,,Sao Tome and Principe,2865.017042265732,,,678,STP,0,0
,Saudi Arabia,2023-01-18 20:21:03,23.885942,45.079162,827488,9549,,,,,Saudi Arabia,2376.891943661415,,,682,SAU,832,47
,Senegal,2023-01-18 20:21:03,14.4974,-14.4524,88900,1968,,,,,Senegal,530.9386744927864,,,686,SEN,4,0
,Serbia,2023-01-18 20:21:03,44.0165,21.0059,2462353,17630,,,,,Serbia,28181.855638481604,,,688,SRB,25014,145
,Seychelles,2023-01-18 20:21:03,-4.6796,55.492,50355,172,,,,,Seychelles,51205.00305064063,,,690,SYC,0,0
,Sierra Leone,2023-01-18 20:21:03,8.460555,-11.779889,7760,126,,,,,Sierra Leone,97.27986200299988,,,694,SLE,0,0
,Singapore,2023-01-18 20:21:03,1.2833,103.8333,2213091,1718,,,,,Singapore,37828.39741191243,,,702,SGP,21087,7
,Slovakia,2023-01-18 20:21:03,48.669,19.699,2659532,20888,,,,,Slovakia,48936.0245768313,,,703,SVK,4423,94
,Slovenia,2023-01-18 20:21:03,46.1512,14.9955,1318579,7039,,,,,Slovenia,63425.78785645706,,,705,SVN,26499,62
,Solomon Islands,2023-01-18 20:21:03,-9.6457,160.1562,24575,153,,,,,Solomon Islands,3764.218252667502,,,90,SLB,0,0
,Somalia,2023-01-18 20:21:03,5.152149,46.199616,27310,1361,,,,,Somalia,171.83428983140547,,,706,SOM,10,0
,South Africa,2023-01-18 20:21:03,-30.5595,22.9375,4052988,102568,,,,,South Africa,6833.716947718792,,,710,ZAF,5128,0
,South Sudan,2023-01-18 20:21:03,6.877,31.307,18368,138,,,,,South Sudan,164.09187679994756,,,728,SSD,0,0
Andalusia,Spain,2023-01-18 20:21:03,37.5443,-4.7278,1618728,15042,,,,,"Andalusia, Spain",19207.90563643257,,,72401,ESP,7341,130
Aragon,Spain,2023-01-18 20:21:03,41.5976,-0.9057,464551,5423,,,,,"Aragon, Spain",35177.64083520498,,,72402,ESP,990,34
Asturias,Spain,2023-01-18 20:21:03,43.3614,-5.8593,264862,3423,,,,,"Asturias, Spain",25910.849584965832,,,72403,ESP,1273,45
Baleares,Spain,2023-01-18 20:21:03,39.710358,2.995148,313971,1619,,,,,"Baleares, Spain",26423.6420864823,,,72404,ESP,1157,14
C. Valenciana,Spain,2023-01-18 20:21:03,39.484,-0.7533,1582081,10293,,,,,"C. Valenciana, Spain",31800.821271449127,,,72411,ESP,6463,97
Canarias,Spain,2023-01-18 20:21:03,28.2916,-16.6291,462123,2203,,,,,"Canarias, Spain",20939.906230501503,,,72405,ESP,5617,56
Cantabria,Spain,2023-01-18 20:21:03,43.1828,-3.9878,162544,982,,,,,"Cantabria, Spain",27945.76035733382,,,72406,ESP,792,6
Castilla - La Mancha,Spain,2023-01-18 20:21:03,39.2796,-3.0977,606688,8035,,,,,"Castilla - La Mancha, Spain",29814.48018725456,,,72407,ESP,1359,24
Castilla y Leon,Spain,2023-01-18 20:21:03,41.8357,-4.3976,844206,9351,,,,,"Castilla y Leon, Spain",35062.27642350709,,,72408,ESP,4251,94
Catalonia,Spain,2023-01-18 20:21:03,41.5912,1.5209,2677599,20978,,,,,"Catalonia, Spain",35387.8730936686,,,72409,ESP,6873,147
Ceuta,Spain,2023-01-18 20:21:03,35.8894,-5.3213,24626,193,,,,,"Ceuta, Spain",29030.16657039456,,,72410,ESP,91,1
Extremadura,Spain,2023-01-18 20:21:03,39.4937,-6.0679,309312,2689,,,,,"Extremadura, Spain",29031.822072714716,,,72412,ESP,1783,22
Galicia,Spain,2023-01-18 20:21:03,42.5751,-8.1339,748205,4023,,,,,"Galicia, Spain",27706.77085705631,,,72413,ESP,5333,45
La Rioja,Spain,2023-01-18 20:21:03,42.2871,-2.5396,111001,962,,,,,"La Rioja, Spain",35399.000545331044,,,72419,ESP,427,3
Madrid,Spain,2023-01-18 20:21:03,40.4168,-3.7038,1979342,20424,,,,,"Madrid, Spain",29801.966349019647,,,72414,ESP,9657,243
Melilla,Spain,2023-01-18 20:21:03,35.2923,-2.9381,25342,173,,,,,"Melilla, Spain",29923.602829174983,,,72415,ESP,239,4
Murcia,Spain,2023-01-18 20:21:03,37.9922,-1.1307,464219,2517,,,,,"Murcia, Spain",31204.58060730152,,,72416,ESP,1643,20
Navarra,Spain,2023-01-18 20:21:03,42.6954,-1.6761,257630,1750,,,,,"Navarra, Spain",39638.67767476067,,,72417,ESP,772,14
Pais Vasco,Spain,2023-01-18 20:21:03,42.9896,-2.6189,794221,7679,,,,,"Pais Vasco, Spain",36467.61988722978,,,72418,ESP,3951,102
Unknown,Spain,2023-01-18 20:21:03,,,0,0,,,,,"Unknown, Spain",,,,72420,ESP,0,0
,Sri Lanka,2023-01-18 20:21:03,7.873054,80.771797,671970,16824,,,,,Sri Lanka,3138.103744177087,,,144,LKA,147,10
,Sudan,2023-01-18 20:21:03,12.8628,30.2176,63725,5001,,,,,Sudan,145.3273941693304,,,729,SDN,40,6
,Summer Olympics 2020,2023-01-18 20:21:03,35.6491,139.7737,865,0,,,,,Summer Olympics 2020,,,,2020,,0,0
,Suriname,2023-01-18 20:21:03,3.9193,-56.0278,82020,1398,,,,,Suriname,13981.460331313903,,,740,SUR,439,5
Blekinge,Sweden,2023-01-18 20:21:03,56.2784,15.018,32210,207,,,,,"Blekinge, Sweden",20180.945578487022,,,75201,SWE,739,9
Dalarna,Sweden,2023-01-18 20:21:03,61.0917,14.6664,79183,613,,,,,"Dalarna, Sweden",27497.343436377905,,,75202,SWE,1958,47
Gavleborg,Sweden,2023-01-18 20:21:03,61.3012,16.1534,75826,809,,,,,"Gavleborg, Sweden",26385.090228337194,,,75203,SWE,505,32
Gotland,Sweden,2023-01-18 20:21:03,57.4684,18.4867,12302,98,,,,,"Gotland, Sweden",20611.198606038262,,,75204,SWE,258,12
Halland,Sweden,2023-01-18 20:21:03,56.8967,12.8034,112511,597,,,,,"Halland, Sweden",33701.265246459465,,,75205,SWE,1958,59
Jamtland Harjedalen,Sweden,2023-01-18 20:21:03,63.1712,14.9592,35244,213,,,,,"Jamtland Harjedalen, Sweden",26942.894274138063,,,75206,SWE,426,3
Jonkoping,Sweden,2023-01-18 20:21:03,57.3708,14.3439,92158,814,,,,,"Jonkoping, Sweden",25346.05430708005,,,75207,SWE,1210,41
Kalmar,Sweden,2023-01-18 20:21:03,57.235,16.1849,65348,441,,,,,"Kalmar, Sweden",26624.18617537055,,,75208,SWE,1216,34
Kronoberg,Sweden,2023-01-18 20:21:03,56.7183,14.4115,53630,437,,,,,"Kronoberg, Sweden",26619.47991998769,,,75209,SWE,1035,16
Norrbotten,Sweden,2023-01-18 20:21:03,66.8309,20.3992,51890,534,,,,,"Norrbotten, Sweden",20748.281639230205,,,75210,SWE,344,27
Orebro,Sweden,2023-01-18 20:21:03,59.535,15.0066,103886,596,,,,,"Orebro, Sweden",34082.77423270616,,,75211,SWE,2330,47
Ostergotland,Sweden,2023-01-18 20:21:03,58.3454,15.5198,101492,969,,,,,"Ostergotland, Sweden",21803.0268853586,,,75212,SWE,1094,57
Skane,Sweden,2023-01-18 20:21:03,55.9903,13.5958,356319,2829,,,,,"Skane, Sweden",25860.939000324423,,,75213,SWE,5243,166
Sormland,Sweden,2023-01-18 20:21:03,59.0336,16.7519,71527,737,,,,,"Sormland, Sweden",24039.45687974726,,,75214,SWE,1610,43
Stockholm,Sweden,2023-01-18 20:21:03,59.6025,18.1384,618037,6007,,,,,"Stockholm, Sweden",25999.82920228633,,,75215,SWE,5067,226
Uppsala,Sweden,2023-01-18 20:21:03,60.0092,17.2715,97356,791,,,,,"Uppsala, Sweden",25372.08799284882,,,75216,SWE,1532,44
Varmland,Sweden,2023-01-18 20:21:03,59.7294,13.2354,72639,479,,,,,"Varmland, Sweden",25720.75038772865,,,75217,SWE,1671,49
Vasterbotten,Sweden,2023-01-18 20:21:03,65.3337,16.5162,62323,450,,,,,"Vasterbotten, Sweden",22935.12821267701,,,75218,SWE,671,32
Vasternorrland,Sweden,2023-01-18 20:21:03,63.4276,17.7292,58518,760,,,,,"Vasternorrland, Sweden",23851.11698940684,,,75219,SWE,902,47
Vastmanland,Sweden,2023-01-18 20:21:03,59.6714,16.2159,80890,597,,,,,"Vastmanland, Sweden",29324.439449690948,,,75220,SWE,1129,49
Vastra Gotaland,Sweden,2023-01-18 20:21:03,58.2528,13.0596,454551,3667,,,,,"Vastra Gotaland, Sweden",26337.331484615683,,,75221,SWE,5240,241
,Switzerland,2023-01-18 20:21:03,46.8182,8.2275,4406243,14243,,,,,Switzerland,50912.04487592635,,,756,CHE,19428,77
,Syria,2023-01-18 20:21:03,34.802075,38.996815,57441,3164,,,,,Syria,328.2219633240055,,,760,SYR,18,1
,Taiwan*,2023-01-18 20:21:03,23.7,121.0,9266087,15929,,,,,Taiwan*,38905.71666398998,,,158,TWN,639527,953
,Tajikistan,2023-01-18 20:21:03,38.861,71.2761,17786,125,,,,,Tajikistan,186.4821514584003,,,762,TJK,0,0
,Tanzania,2023-01-18 20:21:03,-6.369028,34.888822,42530,846,,,,,Tanzania,71.19872827319244,,,834,TZA,419,1
,Thailand,2023-01-18 20:21:03,15.870032,100.992541,4752782,34668,,,,,Thailand,6809.145412624629,,,764,THA,33874,1163
,Timor-Leste,2023-01-18 20:21:03,-8.874217,125.727539,23407,138,,,,,Timor-Leste,1775.3530303191192,,,626,TLS,22,0
,Togo,2023-01-18 20:21:03,8.6195,0.8248,39352,290,,,,,Togo,475.3382067820248,,,768,TGO,13,0
,Tonga,2023-01-18 20:21:03,-21.179,-175.1982,16590,13,,,,,Tonga,15695.80972023804,,,776,TON,408,1
,Trinidad and Tobago,2023-01-18 20:21:03,10.6918,-61.2225,187204,4309,,,,,Trinidad and Tobago,13376.577627151586,,,780,TTO,1322,32
,Tunisia,2023-01-18 20:21:03,33.886917,9.537499,1150217,29291,,,,,Tunisia,9732.246189867546,,,788,TUN,2740,12
,Turkey,2023-01-06 23:21:00,38.9637,35.2433,17042722,101492,,,,,Turkey,20207.38740209208,,,792,TUR,123084,289
,Tuvalu,2023-01-18 20:21:03,-7.1095,177.6493,2805,0,,,,,Tuvalu,23787.31343283582,,,798,TUV,0,0
Alabama,US,2023-01-18 20:21:03,32.53952745,-86.64408227,19389,230,,,Autauga,1001,"Autauga, Alabama, US",34704.3977876819,,,84001001,USA,471,0
Alabama,US,2023-01-18 20:21:03,30.72774991,-87.72207058,68764,722,,,Baldwin,1003,"Baldwin, Alabama, US",30803.551430337677,,,84001003,USA,1297,4
Alabama,US,2023-01-18 20:21:03,31.868263,-85.3871286,7258,103,,,Barbour,1005,"Barbour, Alabama, US",29401.28007777688,,,84001005,USA,181,0
Alabama,US,2023-01-18 20:21:03,32.99642064,-87.1251146,7889,109,,,Bibb,1007,"Bibb, Alabama, US",35228.18612128249,,,84001007,USA,187,0
Alabama,US,2023-01-18 20:21:03,33.98210918,-86.56790593,18130,261,,,Blount,1009,"Blount, Alabama, US",31352.67872583267,,,84001009,USA,409,1
Alabama,US,2023-01-18 20:21:03,32.10030533,-85.71265535,2956,54,,,Bullock,1011,"Bullock, Alabama, US",29264.429264429265,,,84001011,USA,68,0
Alabama,US,2023-01-18 20:21:03,31.75300095,-86.68057478,6347,130,,,Butler,1013,"Butler, Alabama, US",32635.74660633484,,,84001013,USA,165,0
Alabama,US,2023-01-18 20:21:03,33.77483727,-85.82630386,40377,672,,,Calhoun,1015,"Calhoun, Alabama, US",35541.5694731746,,,84001015,USA,897,9
Alabama,US,2023-01-18 20:21:03,32.91360079,-85.39072749,10599,170,,,Chambers,1017,"Chambers, Alabama, US",31872.85740061346,,,84001017,USA,281,0
Alabama,US,2023-01-18 20:21:03,34.17805983,-85.60638968,6628,89,,,Cherokee,1019,"Cherokee, Alabama, US",25301.57275919988,,,84001019,USA,193,0
Alabama,US,2023-01-18 20:21:03,32.85044126,-86.7173256,12792,216,,,Chilton,1021,"Chilton, Alabama, US",28792.65328171424,,,84001021,USA,197,0
Alabama,US,2023-01-18 20:21:03,32.02227341,-88.2656443,2232,39,,,Choctaw,1023,"Choctaw, Alabama, US",17729.764079752164,,,84001023,USA,18,0
Alabama,US,2023-01-18 20:21:03,31.68099859,-87.83548597,8415,107,,,Clarke,1025,"Clarke, Alabama, US",35623.57124714249,,,84001025,USA,215,0
Alabama,US,2023-01-18 20:21:03,33.26984193,-85.85836077,5050,92,,,Clay,1027,"Clay, Alabama, US",38156.40347563279,,,84001027,USA,111,0
Alabama,US,2023-01-18 20:21:03,33.67679204,-85.52005899,4316,71,,,Cleburne,1029,"Cleburne, Alabama, US",28947.015425888665,,,84001029,USA,85,0
Alabama,US,2023-01-18 20:21:03,31.39932826,-85.98901039,16683,243,,,Coffee,1031,"Coffee, Alabama, US",31873.065606969547,,,84001031,USA,305,0
Alabama,US,2023-01-18 20:21:03,34.69847452,-87.80168544,20658,276,,,Colbert,1033,"Colbert, Alabama, US",37396.13692728227,,,84001033,USA,503,2
Alabama,US,2023-01-18 20:21:03,31.43401703,-86.99320044,3484,76,,,Conecuh,1035,"Conecuh, Alabama, US",28872.13060412696,,,84001035,USA,73,0
Alabama,US,2023-01-18 20:21:03,32.93690146,-86.24847739,3698,64,,,Coosa,1037,"Coosa, Alabama, US",34680.67148082153,,,84001037,USA,68,1
Alabama,US,2023-01-18 20:21:03,31.2477854,-86.45050893,11492,257,,,Covington,1039,"Covington, Alabama, US",31018.38106291668,,,84001039,USA,219,1
Alabama,US,2023-01-18 20:21:03,31.72941803,-86.31593104,4648,109,,,Crenshaw,1041,"Crenshaw, Alabama, US",33749.636944525126,,,84001041,USA,152,0
Alabama,US,2023-01-18 20:21:03,34.13020303,-86.86888037,30853,395,,,Cullman,1043,"Cullman, Alabama, US",36831.4869639958,,,84001043,USA,724,5
Alabama,US,2023-01-18 20:21:03,31.43037123,-85.61095742,16085,245,,,Dale,1045,"Dale, Alabama, US",32711.705848857076,,,84001045,USA,283,1
Alabama,US,2023-01-18 20:21:03,32.32688101,-87.1086671,10566,258,,,Dallas,1047,"Dallas, Alabama, US",28406.280245187656,,,84001047,USA,189,2
Alabama,US,2023-01-18 20:21:03,34.45946862,-85.80782906,22096,345,,,DeKalb,1049,"DeKalb, Alabama, US",30897.87870736789,,,84001049,USA,340,1
Alabama,US,2023-01-18 20:21:03,32.59785413,-86.14415284,29175,361,,,Elmore,1051,"Elmore, Alabama, US",35925.82102968883,,,84001051,USA,709,2
Alabama,US,2023-01-18 20:21:03,31.1256789,-87.15918694,12118,178,,,Escambia,1053,"Escambia, Alabama, US",33079.463871372805,,,84001053,USA,221,0
Alabama,US,2023-01-18 20:21:03,34.04567266,-86.04051873,33673,690,,,Etowah,1055,"Etowah, Alabama, US",32926.23303477139,,,84001055,USA,587,4
Alabama,US,2023-01-18 20:21:03,33.72076938,-87.73886638,5800,99,,,Fayette,1057,"Fayette, Alabama, US",35578.45663108821,,,84001057,USA,112,0
Alabama,US,2023-01-18 20:21:03,34.44235334,-87.84289505,11805,151,,,Franklin,1059,"Franklin, Alabama, US",37641.09431796442,,,84001059,USA,234,1
Alabama,US,2023-01-18 20:21:03,31.09389027,-85.83572839,7730,171,,,Geneva,1061,"Geneva, Alabama, US",29424.07978379201,,,84001061,USA,139,0
Alabama,US,2023-01-18 20:21:03,32.85504247,-87.95684022,2240,53,,,Greene,1063,"Greene, Alabama, US",27616.81666872149,,,84001063,USA,47,1
Alabama,US,2023-01-18 20:21:03,32.76039258,-87.63284988,5615,110,,,Hale,1065,"Hale, Alabama, US",38325.029008258825,,,84001065,USA,116,1
Alabama,US,2023-01-18 20:21:03,31.51148016,-85.24267944,5697,79,,,Henry,1067,"Henry, Alabama, US",33112.46730601569,,,84001067,USA,109,0
Alabama,US,2023-01-18 20:21:03,31.15197924,-85.29939599,31768,529,,,Houston,1069,"Houston, Alabama, US",30003.21112181485,,,84001069,USA,728,2
Alabama,US,2023-01-18 20:21:03,34.78144169,-85.99750489,17981,254,,,Jackson,1071,"Jackson, Alabama, US",34829.34955255104,,,84001071,USA,445,1
Alabama,US,2023-01-18 20:21:03,33.55554728,-86.895063,230578,2495,,,Jefferson,1073,"Jefferson, Alabama, US",35011.76027562624,,,84001073,USA,4816,10
Alabama,US,2023-01-18 20:21:03,33.77995024,-88.09668032,4635,73,,,Lamar,1075,"Lamar, Alabama, US",33574.79174212242,,,84001075,USA,76,2
Alabama,US,2023-01-18 20:21:03,34.90171875,-87.65624729,29801,418,,,Lauderdale,1077,"Lauderdale, Alabama, US",32137.734689255787,,,84001077,USA,630,3
Alabama,US,2023-01-18 20:21:03,34.52041498,-87.31069453,9243,181,,,Lawrence,1079,"Lawrence, Alabama, US",28073.74559591787,,,84001079,USA,138,3
Alabama,US,2023-01-18 20:21:03,32.60154883,-85.35132246,46420,366,,,Lee,1081,"Lee, Alabama, US",28211.64201237374,,,84001081,USA,1116,2
Alabama,US,2023-01-18 20:21:03,34.81185586,-86.98310072,31327,314,,,Limestone,1083,"Limestone, Alabama, US",31670.62629530405,,,84001083,USA,636,3
Alabama,US,2023-01-18 20:21:03,32.1597283,-86.65158371,3251,80,,,Lowndes,1085,"Lowndes, Alabama, US",33425.86880526424,,,84001085,USA,113,0
Alabama,US,2023-01-18 20:21:03,32.38759944,-85.69267724,5094,90,,,Macon,1087,"Macon, Alabama, US",28193.491255257915,,,84001087,USA,139,0
Alabama,US,2023-01-18 20:21:03,34.76327133,-86.55069633,113510,1053,,,Madison,1089,"Madison, Alabama, US",30439.061540483068,,,84001089,USA,2479,11
Alabama,US,2023-01-18 20:21:03,32.24767634,-87.78796182,5992,115,,,Marengo,1091,"Marengo, Alabama, US",31765.89089752425,,,84001091,USA,98,0
Alabama,US,2023-01-18 20:21:03,34.13697363,-87.88704173,9904,157,,,Marion,1093,"Marion, Alabama, US",33336.69931670537,,,84001093,USA,224,1
Alabama,US,2023-01-18 20:21:03,34.36975964,-86.30486727,32306,408,,,Marshall,1095,"Marshall, Alabama, US",33382.93343253353,,,84001095,USA,625,2
Alabama,US,2023-01-18 20:21:03,30.78472347,-88.20842409,132815,1768,,,Mobile,1097,"Mobile, Alabama, US",32142.25212361753,,,84001097,USA,2335,7
Alabama,US,2023-01-18 20:21:03,31.56729412,-87.36995001,6524,87,,,Monroe,1099,"Monroe, Alabama, US",31466.743838325376,,,84001099,USA,159,0
Alabama,US,2023-01-18 20:21:03,32.2206831,-86.20969272,71485,1003,,,Montgomery,1101,"Montgomery, Alabama, US",31562.657294490607,,,84001101,USA,2184,2
Alabama,US,2023-01-18 20:21:03,34.45500589,-86.85475946,45443,549,,,Morgan,1103,"Morgan, Alabama, US",37970.73839186491,,,84001103,USA,1060,5
